idx	arm	N	stratify	seed
1	A_prod	1248	on	100
2	A_prod	1248	on	101
3	A_prod	1248	on	102
4	A_prod	1248	on	103
5	A_prod	1248	on	104
6	A_prod	1248	on	105
7	A_prod	1248	on	106
8	A_prod	1248	on	107
9	A_prod	1248	on	108
10	A_prod	1248	on	109
11	A_prod	1248	on	110
12	A_prod	1248	on	111
13	A_prod	1248	on	112
14	A_prod	1248	on	113
15	A_prod	1248	on	114
16	A_prod	1248	on	115
17	A_prod	1248	on	116
18	A_prod	1248	on	117
19	A_prod	1248	on	118
20	A_prod	1248	on	119
21	B_stratoff	1248	off	120
22	B_stratoff	1248	off	121
23	B_stratoff	1248	off	122
24	B_stratoff	1248	off	123
25	B_stratoff	1248	off	124
26	B_stratoff	1248	off	125
27	B_stratoff	1248	off	126
28	B_stratoff	1248	off	127
29	C_lowN	200	on	128
30	C_lowN	200	on	129
31	C_lowN	200	on	130
32	C_lowN	200	on	131
33	C_highN	2900	on	132
34	C_highN	2900	on	133
35	C_highN	2900	on	134
36	C_highN	2900	on	135
37	C_highN	2900	on	136
38	C_highN	2900	on	137
39	C_highN	2900	on	138
40	C_highN	2900	on	139
41	C_highN	2900	on	140
42	C_highN	2900	on	141
